condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
3,7,1180,0,1955-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98178
3,7,2170,400,1951-01-01 00:00:00.000000000,1970-01-01 00:00:00.000001991,98125
3,6,770,0,1933-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98028
5,7,1050,910,1965-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98136
3,8,1680,0,1987-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98074
3,11,3890,1530,2001-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98053
3,7,1715,0,1995-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
3,7,1060,0,1963-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98198
3,7,1050,730,1960-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98146
3,7,1890,0,2003-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
3,8,1860,1700,1965-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98007
4,7,860,300,1942-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98115
4,7,1430,0,1927-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98028
4,7,1370,0,1977-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98074
3,7,1810,0,1900-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98107
3,9,1980,970,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98126
3,7,1890,0,1994-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98019
4,7,1600,0,1916-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
4,7,1200,0,1921-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98002
4,7,1250,0,1969-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
4,7,860,760,1947-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98133
3,9,2330,720,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98040
3,8,2270,0,1995-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98092
3,7,1070,0,1985-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98030
4,8,2450,0,1985-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98030
5,6,1710,0,1941-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98002
3,8,1750,700,1915-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98119
5,8,1400,0,1909-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98112
3,7,790,730,1948-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98115
3,8,2570,0,2005-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
3,8,2320,0,2003-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98027
3,7,1190,0,2005-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98133
4,7,1510,820,1929-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
4,8,1090,0,1929-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
3,7,1280,780,1981-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
3,8,1510,790,1930-01-01 00:00:00.000000000,1970-01-01 00:00:00.000002002,98115
1,5,930,730,1933-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
4,8,2360,0,1904-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98107
2,7,890,330,1969-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98001
3,8,2620,0,1996-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98056
3,9,2570,0,2000-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98074
3,8,2600,1620,1984-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98166
3,9,3595,0,2014-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98053
3,7,1570,0,1922-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98119
4,6,920,360,1959-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
3,8,3160,0,2003-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98019
3,6,990,0,1966-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
4,9,2290,0,1981-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98007
4,7,1250,0,1953-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98115
5,9,2165,588,1953-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98070
3,7,1190,0,1955-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98148
4,8,1640,1510,1966-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98056
4,7,1000,410,1950-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
3,7,990,990,1981-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
3,8,2130,600,1927-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98105
3,9,2830,0,1995-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98105
3,7,2250,0,2008-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98042
3,8,2420,0,2003-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98042
4,8,3250,0,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98008
3,8,1850,0,1991-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98059
4,8,1590,560,1959-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98166
3,7,1260,0,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98148
5,8,2519,0,1973-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98166
3,8,1540,0,2014-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98115
3,7,1110,550,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98122
5,7,1770,1000,1925-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98144
3,10,2720,0,1989-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98004
3,7,2240,0,2005-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98001
4,7,1000,0,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98042
3,8,1600,1600,1965-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98004
4,11,3070,1700,1973-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98005
4,7,1260,0,1972-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
5,7,2250,500,1916-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98125
3,8,2380,0,2005-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
5,7,1090,700,1965-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98042
4,10,2390,1040,1986-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98075
3,7,880,880,1956-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98008
3,7,1040,0,1941-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98116
4,7,910,500,1956-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98133
3,10,3450,0,2002-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98010
3,8,2350,0,2003-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
3,7,1900,0,1992-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
3,7,1010,1010,1948-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98118
3,8,1680,0,1964-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98059
3,6,960,0,1952-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98125
3,9,1900,240,1925-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98119
5,7,2660,0,1961-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98092
3,9,1980,790,2006-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98056
4,7,1610,0,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98056
3,7,765,265,2006-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98136
3,7,1980,0,1988-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
4,10,3520,0,2001-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98199
3,7,1200,0,1962-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
3,8,1290,290,1939-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
3,8,1290,290,1939-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
3,7,2390,910,1946-01-01 00:00:00.000000000,1970-01-01 00:00:00.000001991,98040
3,7,1960,0,1967-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98032
4,7,1160,0,1975-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
5,7,1210,600,1980-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
3,9,2320,0,1992-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98045
5,9,1270,800,1910-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98102
4,7,1440,540,1929-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
4,8,2190,0,1983-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98077
3,8,2920,0,1950-01-01 00:00:00.000000000,1970-01-01 00:00:00.000002010,98004
3,7,1210,0,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
4,8,1460,880,1978-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
4,7,1170,500,1939-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
4,8,1240,0,1985-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98198
4,10,3140,0,1991-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98077
4,7,2030,0,1942-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
3,8,2310,0,1984-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98027
5,6,700,560,1905-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
4,7,1160,380,1980-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
3,7,1080,1000,1971-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98108
3,9,2520,710,2001-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98001
3,8,2780,1600,1900-01-01 00:00:00.000000000,1970-01-01 00:00:00.000001999,98117
3,8,1590,0,2010-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
4,6,880,0,1945-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98178
3,6,1570,0,1950-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98168
4,7,1610,0,1925-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98144
3,8,1560,840,1964-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98177
3,7,1450,0,1987-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
3,6,770,0,1953-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98117
5,7,1720,380,1924-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98118
3,9,2910,0,1990-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
3,8,1980,770,1914-01-01 00:00:00.000000000,1970-01-01 00:00:00.000001992,98004
3,8,1620,480,1967-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98178
3,8,1360,800,1978-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
5,7,1720,600,1926-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
3,7,2070,0,2004-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98065
4,7,1060,0,1986-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98092
3,8,1440,570,1986-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98027
3,9,2460,1490,1989-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
3,8,1390,620,2014-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98029
3,9,2140,0,2005-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98107
4,7,1320,0,1956-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
3,7,1010,1010,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
4,8,1340,1250,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98028
3,6,1190,0,1981-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98125
3,8,1170,0,2014-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98107
3,7,1110,0,1925-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98119
4,8,1550,1270,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98006
4,7,1010,600,1962-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
4,7,940,120,1923-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98133
4,8,1380,650,1961-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98006
4,9,3670,0,1994-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98077
3,8,2370,180,1905-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98109
3,7,2420,0,2007-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98027
4,8,1130,1130,1960-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98032
3,7,980,450,1947-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
3,8,1360,0,1990-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
3,7,1110,0,1947-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98107
4,7,1250,0,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98003
3,12,3540,1640,2006-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98006
3,7,700,0,1942-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98115
4,7,1180,0,1967-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
3,9,2500,1460,1996-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98056
3,8,1620,1020,1967-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
3,7,1270,0,1916-01-01 00:00:00.000000000,1970-01-01 00:00:00.000002013,98022
4,8,1760,0,1968-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98059
3,7,1030,1030,1962-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98146
3,7,1780,0,1962-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
3,10,3400,0,2000-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98075
3,7,1160,750,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
4,7,1010,1010,1975-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98027
3,7,1180,400,1976-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
5,5,700,640,1949-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98198
3,9,2680,0,1999-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98006
4,8,1610,1070,1979-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
5,7,1370,0,1964-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98133
3,7,1560,0,1954-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98166
4,7,1670,490,1978-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
3,7,1340,0,1955-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98133
3,10,2570,1310,1984-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98033
4,8,2590,0,1980-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98006
3,8,820,300,2008-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98122
3,7,1320,650,1986-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98144
3,6,1220,0,1901-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98122
4,7,1320,630,1975-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98022
3,7,1060,290,1949-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98177
3,7,1670,0,1988-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98030
4,7,1680,700,1925-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98126
5,7,2440,0,1961-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
3,7,1050,0,1996-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98038
3,9,2140,990,1993-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
4,10,2090,2000,1986-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98033
4,8,1100,390,1969-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
3,8,1900,0,1987-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98074
4,6,1330,0,1901-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98103
3,8,1430,800,1975-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98052
3,7,1220,430,1977-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98034
3,6,1190,0,1959-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98058
4,8,2140,0,1959-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98040
4,7,1420,760,1962-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98133
3,7,1060,0,1948-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98155
3,8,1690,0,2003-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,98023
